posicao,modelo_avaliado,n_total,n_correto,n_parcialmente_correto,n_incorreto,score_medio_0_5,desvio_medio_entre_julgadores,score_normalizado,taxa_erro,taxa_nao_correto
1,gpt-5.1,101,80,14,7,4.297029702970297,0.42092586901932005,0.8594059405940595,0.06930693069306931,0.2079207920792079
2,claude-opus-4-6,101,76,14,11,4.174917491749175,0.5560471302826461,0.8349834983498351,0.10891089108910891,0.24752475247524752
3,z-ai_glm-5.1,101,72,15,14,4.095709570957096,0.4400998926181894,0.8191419141914192,0.13861386138613863,0.2871287128712871
4,deepseek-ai_deepseek-v4-flash,101,70,16,15,4.052805280528053,0.4541026310102694,0.8105610561056105,0.1485148514851485,0.3069306930693069
5,google_gemma-4-31b-it,101,73,12,16,4.023102310231023,0.4539945740476123,0.8046204620462045,0.15841584158415842,0.27722772277227725
6,qwen_qwen3.5-122b-a10b,101,69,17,15,4.00990099009901,0.49721986484852154,0.801980198019802,0.1485148514851485,0.31683168316831684
7,gemini-3-pro-preview,101,70,17,14,3.993399339933993,0.45194298591231447,0.7986798679867986,0.13861386138613863,0.3069306930693069
8,mistralai_mixtral-8x22b-instruct-v0.1,101,68,17,16,3.976897689768977,0.4536922163139587,0.7953795379537955,0.15841584158415842,0.32673267326732675
9,openai_gpt-oss-120b,101,62,22,17,3.867986798679868,0.5719278777917015,0.7735973597359737,0.16831683168316833,0.38613861386138615
10,qwen2-72B-Instruct,101,64,20,17,3.8514851485148514,0.4897058614412289,0.7702970297029703,0.16831683168316833,0.36633663366336633
11,meta_llama-3.3-70b-instruct,101,67,14,20,3.798679867986799,0.4473479204159011,0.7597359735973598,0.19801980198019803,0.33663366336633666
