modelo,rouge-l,bleu,bert_f1,connectedness,rank_rouge-l,rank_bleu,rank_bert_f1,rank_connectedness,score_geral,score_geral_100,rank_geral
mistralai_mixtral-8x22b-instruct-v0.1,0.4414236231661354,0.3009051073563913,0.7988820672035217,0.8301929235458374,2,3,6,3,0.5928509303179714,59.285093031797146,1
mixtral-8x22B-Instruct-v0.1,0.4433705156838788,0.2954729414333711,0.7968709468841553,0.8314145803451538,1,4,7,2,0.5917822460866398,59.178224608663974,2
z-ai_glm-5.1,0.4360389021872844,0.3038700572360434,0.8009154796600342,0.8226044178009033,4,2,3,4,0.5908572142210663,59.08572142210663,3
meta_llama-3.3-70b-instruct,0.4332795084187935,0.3065014565143286,0.8012325763702393,0.8186678886413574,5,1,2,7,0.5899203574861797,58.992035748617965,4
qwen2-72B-Instruct,0.4280217538885373,0.2946036196176488,0.7997518181800842,0.8323589563369751,7,5,4,1,0.5886840370058113,58.868403700581126,5
google_gemma-4-31b-it,0.4387045266954398,0.2739717270356305,0.8026441931724548,0.8050590753555298,3,6,1,12,0.5800948805647637,58.009488056476364,6
deepseek-ai_deepseek-v4-flash,0.4287449041453389,0.2526509556825387,0.7991479635238647,0.8199469447135925,6,8,5,6,0.5751226920163337,57.51226920163337,7
qwen_qwen2.5-7b-instruct,0.4074422297647491,0.2603540963188366,0.7943488359451294,0.8147580623626709,9,7,8,10,0.5692258060978466,56.92258060978466,8
qwen_qwen3.5-122b-a10b,0.4180140325228687,0.2499932879248131,0.7888581156730652,0.8124758005142212,8,9,9,11,0.5673353091587421,56.73353091587421,9
deepseek-ai_deepseek-v3.2,0.3863238744532908,0.2088406914480339,0.7859401702880859,0.8182127475738525,11,10,10,8,0.5498293709408157,54.98293709408158,10
meta_llama-4-maverick-17b-128e-instruct,0.3915093142381832,0.1952211278447362,0.784209132194519,0.7683511972427368,10,11,11,13,0.5348226928800438,53.48226928800438,11
mistralai_mistral-large-3-675b-instruct-2512,0.3476308355543338,0.1495006360726378,0.7728331685066223,0.8161526918411255,13,12,13,9,0.5215293329936799,52.15293329936799,12
openai_gpt-oss-120b,0.355290951514468,0.1269420551027487,0.7733370065689087,0.8221819996833801,12,13,12,5,0.5194380032173764,51.94380032173764,13
moonshotai_kimi-k2.6,0.1131067143429751,0.0831334924393069,0.5947022438049316,0.2460355311632156,14,14,14,14,0.2592444954376073,25.92444954376073,14
deepseek-ai_deepseek-v4-pro,0.0669553581899644,0.0342266900765641,0.566467821598053,0.1542279124259948,15,15,15,15,0.20546944557264404,20.546944557264403,15
