modelo,arquivo_qag,rouge-1,rouge-2,rouge-l,bleu,bert_precision,bert_recall,bert_f1,connectedness,num_exemplos,device
google_gemma-4-31b-it,google_gemma-4-31b-it_QAG.csv,0.4880989698764203,0.31630812892470583,0.4403513863167737,0.28127245701425524,0.81686931848526,0.7953764796257019,0.8041407465934753,0.8159109354019165,101,cpu
mistralai_mixtral-8x22b-instruct-v0.1,mistralai_mixtral-8x22b-instruct-v0.1_QAG.csv,0.4882818646597228,0.3285428361115872,0.44898697205620197,0.3089943349097785,0.797356128692627,0.8047767877578735,0.7998708486557007,0.8304556608200073,101,cpu
z-ai_glm-5.1,z-ai_glm-5.1_QAG.csv,0.47467896752427224,0.30386084804133223,0.42950212905303875,0.29925473921770857,0.8098263740539551,0.7904981970787048,0.7980281710624695,0.8225117325782776,101,cpu
deepseek-ai_deepseek-v4-flash,deepseek-ai_deepseek-v4-flash_QAG.csv,0.4654576488679754,0.2935692356566972,0.4267020431571351,0.25286072850826596,0.8115662932395935,0.7883058786392212,0.7979674339294434,0.8111470937728882,101,cpu
meta_llama-3.3-70b-instruct,meta_llama-3.3-70b-instruct_QAG.csv,0.46815843946569174,0.31084593882669703,0.42538025749085523,0.31305616066193626,0.8008236885070801,0.7888269424438477,0.7930679321289062,0.8011875748634338,101,cpu
openai_gpt-oss-120b,openai_gpt-oss-120b_QAG.csv,0.3809974091467805,0.18531968004986113,0.3392952579100289,0.12033572562439804,0.7567481398582458,0.7800066471099854,0.7668092846870422,0.8204057216644287,101,cpu
qwen_qwen3.5-122b-a10b,qwen_qwen3.5-122b-a10b_QAG.csv,0.4686887298691037,0.29061319932656976,0.42582108934619267,0.2584173780219502,0.7977014183998108,0.799564778804779,0.7966973185539246,0.8250622749328613,101,cpu
claude-opus-4-6,claude-opus-4-6_QAG.csv,0.3294618721707949,0.17144272633816177,0.3015506923315019,0.09559163495815706,0.6826277375221252,0.7924787998199463,0.7326786518096924,0.7837015986442566,101,cpu
gemini-3-pro-preview,gemini-3-pro-preview_QAG.csv,0.4618227724479808,0.29299053978496087,0.411126618388395,0.27647289703637284,0.8095946311950684,0.7892318367958069,0.7973372936248779,0.8164947628974915,101,cpu
gpt-5.1,gpt-5.1_QAG.csv,0.4107071681870459,0.21823609602344263,0.3624883929264455,0.15313114527660474,0.763680100440979,0.7867887616157532,0.7735440135002136,0.8247570395469666,101,cpu
qwen2-72B-Instruct_old,qwen2-72B-Instruct_old_QAG.csv,0.47500091448687676,0.3071103971262135,0.4280217538885373,0.29460361961764886,0.8063724040985107,0.7959992289543152,0.7997517585754395,0.8323589563369751,101,cpu
